LncRNA,Environmental factors,P value (FDR correction)
CTC-459F4.3,pyruvate kinase type M2 (PKM2),0.0008 
LINC00511,thyrotropin,0.0008 
RP11-379K17.4,Glucocorticoids (GCs),0.0008 
RP11-390P2.4,thyrotropin,0.0008 
RP11-464F9.1,thyrotropin,0.0008 
RP4-717I23.3,Glucocorticoids (GCs),0.0008 
SCGB1B2P,thyrotropin,0.0008 
RP11-96D1.10,curcumin,0.0008 
CERS6-AS1,curcumin,0.0008 
CTD-2339L15.3,curcumin,0.0008 
LINC00649,curcumin,0.0008 
MEG8,curcumin,0.0008 
RP11-155D18.12,curcumin,0.0008 
RP11-244H3.1,curcumin,0.0008 
RP11-329L6.1,curcumin,0.0008 
RP5-1148A21.3,curcumin,0.0008 
RP6-206I17.2,curcumin,0.0008 
RP11-29G8.3,Polyunsaturated fatty acids (PUFAs),0.0008 
HOXA11-AS,Estradiol (E2),0.0008 
AL163636.6,sulindac sulfide,0.0008 
ALMS1-IT1,fludarabine,0.0008 
NEFL,Imatinib,0.0008 
AC004383.4,Retinoic Acid,0.0009 
CTD-2574D22.4,Retinoic Acid,0.0009 
RP11-204M4.2,Retinoic Acid,0.0009 
RP4-785G19.5,Retinoic Acid,0.0009 
RP11-218M22.1,curcumin,0.0009 
AC012065.7,gemcitabine,0.0009 
RP11-400F19.8,gemcitabine,0.0009 
RP11-379K17.11,drug,0.0009 
AC093642.3,iron- and aluminum-sulfate,0.0009 
LINC00242,anabolic stimulus,0.0009 
RP11-290F20.1,progestin,0.0009 
RP11-658F2.8,iron- and aluminum-sulfate,0.0009 
AL136419.6,Imatinib,0.0009 
RP1-239B22.5,docetaxel,0.0009 
AC005076.5,Arsenic,0.0009 
AC007246.3,Arsenic,0.0009 
PCBP1-AS1,Glucocorticoids (GCs),0.0009 
PCBP1-AS1,methacrylic,0.0009 
RP11-169K16.9,thyrotropin,0.0009 
RP11-218M22.1,thyrotropin,0.0009 
RP11-244O19.1,Glucocorticoids (GCs),0.0009 
RP11-244O19.1,thyrotropin,0.0009 
RP11-325K4.3,Arsenic,0.0009 
RP11-383C5.4,thyrotropin,0.0009 
RP4-614O4.11,Glucocorticoids (GCs),0.0009 
RP4-614O4.11,thyrotropin,0.0009 
UHRF1,methacrylic,0.0009 
RP11-467L20.9,TGF-beta1,0.0009 
RP11-618G20.1,TGF-beta1,0.0009 
RP5-837J1.2,TGF-beta1,0.0009 
CTBP1-AS1,gefitinib,0.0010 
RP5-1180C10.2,curcumin,0.0010 
ILF3-AS1,gemcitabine,0.0010 
AC121336.2,doxorubicin (Dox),0.0010 
RP11-715F3.2,doxorubicin (Dox),0.0010 
SNHG6,metformin,0.0010 
LIFR-AS1,HIV,0.0010 
RP11-303E16.8,HIV,0.0010 
RP11-622K12.1,sulindac sulfide,0.0010 
ZNF252P-AS1,sulindac sulfide,0.0010 
AL163636.6,paclitaxel,0.0010 
RP1-39G22.7,paclitaxel,0.0010 
AC006262.5,Imatinib,0.0010 
AC079767.2,Imatinib,0.0010 
H19,irradiation,0.0010 
CTC-459F4.3,exercise,0.0010 
PSMD6-AS2,Tamoxifen,0.0010 
RP11-65F13.2,4-HPR and EGCG,0.0010 
UBXN8,hydroxycamptothecin (HCPT),0.0010 
RP4-717I23.3,Estradiol (E2),0.0010 
LINC00839,irradiation,0.0011 
AC003104.1,thyrotropin,0.0011 
CTB-25J19.9,methacrylic,0.0011 
RP11-21N3.1,thyrotropin,0.0011 
RP11-384K6.6,thyrotropin,0.0011 
RP11-519M16.1,methacrylic,0.0011 
AC009133.15, 5-Aza,0.0011 
AC009133.15,Camptothecin (CPT),0.0011 
AC009133.15,interleukin-6 (IL-6),0.0011 
CTB-102L5.7,3-nitropropionic acid (3-NPA),0.0011 
CTB-102L5.7,deoxycholic acid,0.0011 
CTB-102L5.7,pacitaxel,0.0011 
CTC-429L19.3,Cyclic mechanical stress (CMS),0.0011 
CTC-429L19.3,gamma-irradiation and genotoxic drugs,0.0011 
CTC-429L19.3,methotrexate (MTX),0.0011 
GABPB1-AS1,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0011 
GABPB1-AS1,serum starvation and chemotherapeutic drug,0.0011 
RP11-108M9.3,3-nitropropionic acid (3-NPA),0.0011 
RP11-108M9.3,deoxycholic acid,0.0011 
RP11-108M9.3,pacitaxel,0.0011 
RP11-158H5.7,Cyclic mechanical stress (CMS),0.0011 
RP11-158H5.7,gamma-irradiation and genotoxic drugs,0.0011 
RP11-158H5.7,methotrexate (MTX),0.0011 
RP11-301L7.1,As2O3,0.0011 
RP11-316M1.11,3-nitropropionic acid (3-NPA),0.0011 
RP11-316M1.11,deoxycholic acid,0.0011 
RP11-316M1.11,pacitaxel,0.0011 
RP11-617D20.1,vincristine,0.0011 
RP11-618P17.3,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0011 
RP11-618P17.3,serum starvation and chemotherapeutic drug,0.0011 
RP11-907D1.2,vincristine,0.0011 
RP5-875O13.1,3-nitropropionic acid (3-NPA),0.0011 
RP5-875O13.1,deoxycholic acid,0.0011 
RP5-875O13.1,pacitaxel,0.0011 
AC016629.8,docetaxel,0.0011 
SETD5-AS1,Tamoxifen,0.0011 
CTD-2292P10.4,heat stress,0.0011 
CTD-3185P2.1,paclitaxel-carboplatin,0.0011 
RHPN1-AS1,heat stress,0.0011 
RP11-869B15.1,cigarette smoke (CS),0.0011 
XIST,Epigallocatechin gallate (EGCG),0.0011 
RP11-384K6.6,curcumin,0.0011 
RP11-727A23.5,metformin,0.0011 
TTTY15,metformin,0.0011 
RP11-923I11.1,irradiation,0.0012 
RP11-361F15.2,Retinoic Acid,0.0012 
AC017048.3,radiation,0.0012 
ENTPD1-AS1,5-fluorouracil (5-FU),0.0012 
LINC00338,paclitaxel,0.0012 
AC005154.6,doxorubicin (Dox),0.0012 
RP6-24A23.7,hypoxia,0.0012 
SNHG16,Arsenic trioxide,0.0012 
SPPL2B,TGF-beta1,0.0012 
AP001065.2,Retinoic Acid,0.0012 
BAIAP2-AS1,paclitaxel,0.0012 
CTD-2020K17.1,adriamycin,0.0012 
CTD-2037K23.2,paclitaxel,0.0012 
RP1-265C24.9,Retinoic Acid,0.0012 
RP11-819C21.1,gefitinib,0.0012 
AC012146.7,anabolic stimulus,0.0012 
AC012146.7,progestin,0.0012 
AC093642.3,Ethanol,0.0012 
HOXA-AS3,progestin,0.0012 
RP11-282O18.3,Trastuzumab,0.0012 
RP11-658F2.8,Ethanol,0.0012 
SIK3-IT1,progestin,0.0012 
RP11-213H15.3,hepatitis C virus (HCV),0.0012 
AC016629.8,thyrotropin,0.0012 
C1RL-AS1,thyrotropin,0.0012 
RP11-20G6.3,HCV,0.0012 
RP11-773D16.1,thyrotropin,0.0012 
AC005537.2,curcumin,0.0012 
AC011893.3,curcumin,0.0012 
AC074093.1,curcumin,0.0012 
AC091878.1,curcumin,0.0012 
CTC-246B18.8,curcumin,0.0012 
CTC-429P9.3,curcumin,0.0012 
CTD-2201E18.3,curcumin,0.0012 
ERVK13-1,curcumin,0.0012 
IQCH-AS1,curcumin,0.0012 
RASAL2-AS1,curcumin,0.0012 
RP11-43D2.6,curcumin,0.0012 
RP11-474P12.5,curcumin,0.0012 
RP11-60I3.5,curcumin,0.0012 
RP1-310O13.12,curcumin,0.0012 
RP11-145M9.4,fludarabine,0.0013 
ILF3-AS1,Epigallocatechin gallate (EGCG),0.0013 
UBXN8,Etoposide,0.0013 
RP11-361F15.2,doxorubicin (Dox),0.0013 
AC005154.6,hypoxia,0.0013 
CROCCP2,fludarabine,0.0013 
RP11-145M9.4,hypoxia,0.0013 
ZNF518A,Retinoic Acid,0.0013 
RP5-1180C10.2,doxorubicin (Dox),0.0013 
RP11-213H15.3,Arsenic trioxide,0.0013 
CTA-204B4.6,Estradiol (E2),0.0014 
CDKN2B-AS1,temozolomide,0.0014 
PVT1,curcumin,0.0014 
COX10-AS1,paclitaxel,0.0014 
RP11-355O1.11,paclitaxel,0.0014 
RP11-615I2.7,fludarabine,0.0014 
UBXN8,Estradiol (E2),0.0014 
CTD-3138B18.5,Retinoic Acid,0.0014 
RP11-91G21.2,paclitaxel-carboplatin,0.0014 
HNRNPU-AS1,paclitaxel,0.0014 
LINC00707,gefitinib,0.0014 
RP11-373L24.1,Polyunsaturated fatty acids (PUFAs),0.0014 
AC005154.5,thyrotropin,0.0014 
AL163636.6,methacrylic,0.0014 
ERI3-IT1,thyrotropin,0.0014 
RP11-506M13.3,thyrotropin,0.0014 
RP1-283E3.8,thyrotropin,0.0014 
RP3-341D10.4,thyrotropin,0.0014 
CTD-3064H18.1,cocaine,0.0015 
GS1-259H13.2,cocaine,0.0015 
RP11-290F20.1,HIV,0.0015 
RP11-622K12.1,iron- and aluminum-sulfate,0.0015 
RP4-694B14.5,folate,0.0015 
RP11-996F15.2,metformin,0.0015 
KCNQ1OT1,Arsenic trioxide,0.0015 
INTS6-AS1,Tamoxifen,0.0015 
RP11-415J8.7,Tamoxifen,0.0015 
RP11-282O18.6,Estradiol (E2),0.0015 
SETD5-AS1,TGF-beta1,0.0015 
AC084219.4,doxorubicin (Dox),0.0015 
CTA-204B4.6,Retinoic Acid,0.0015 
RP11-50E11.3,irradiation,0.0016 
NEAT1,BPA,0.0016 
NEAT1,DDT,0.0016 
NEAT1,E2,0.0016 
NEAT1,ionising radiation,0.0016 
AC009299.3,Imatinib,0.0016 
RP11-392M18.5,paclitaxel,0.0016 
ZNF883,Imatinib,0.0016 
CTB-25J19.9,Ethanol,0.0016 
PSMD6-AS2,doxorubicin (Dox),0.0016 
XIST,ionising radiation,0.0016 
RP11-197N18.2,Estradiol (E2),0.0016 
AC003092.1,hypoxia,0.0016 
CTB-50E14.6,hypoxia,0.0016 
CTB-89H12.4,drug,0.0016 
CTD-2538C1.2,hypoxia,0.0016 
DLG1-AS1,hypoxia,0.0016 
MIR497HG,hypoxia,0.0016 
RP11-213H15.3,hypoxia,0.0016 
RP11-383J24.5,hypoxia,0.0016 
RP11-461L13.3,hypoxia,0.0016 
RP11-543D5.2,hypoxia,0.0016 
RP11-677M14.3,hypoxia,0.0016 
RP3-486L4.3,hypoxia,0.0016 
AC006129.2,Retinoic Acid,0.0016 
CTD-2037K23.2,HCV,0.0016 
RP11-160O5.1,Retinoic Acid,0.0016 
RP11-64K12.2,methacrylic,0.0016 
RP11-64K12.2,thyrotropin,0.0016 
RP1-27K12.2,Retinoic Acid,0.0016 
SNHG3,HCV,0.0016 
RP11-227G15.3,progestin,0.0017 
RP11-46A10.5,anabolic stimulus,0.0017 
LINC00662,irradiation,0.0017 
H19,hypoxia,0.0017 
XIST,Retinoic Acid,0.0017 
HCP5,TGF-beta1,0.0017 
NUTM2A-AS1,radiation,0.0017 
RP11-390P2.4,Retinoic Acid,0.0017 
CERS6-AS1,Retinoic Acid,0.0017 
CTD-2339L15.3,Retinoic Acid,0.0017 
LINC00649,Retinoic Acid,0.0017 
MEG8,Retinoic Acid,0.0017 
RP11-155D18.12,Retinoic Acid,0.0017 
RP11-244H3.1,Retinoic Acid,0.0017 
RP11-329L6.1,Retinoic Acid,0.0017 
RP5-1148A21.3,Retinoic Acid,0.0017 
RP6-206I17.2,Retinoic Acid,0.0017 
LINC00667,hypoxia,0.0017 
AC092835.2,hepatitis C virus (HCV),0.0017 
CTD-2292P10.4,hydroxycamptothecin (HCPT),0.0017 
RHPN1-AS1,hydroxycamptothecin (HCPT),0.0017 
RP11-477D19.2,UV irradiation,0.0017 
RP5-1180C10.2,exercise,0.0017 
MAGI1-IT1,sulindac sulfide,0.0017 
SIK3-IT1,Imatinib,0.0017 
CTB-89H12.4,Arsenic trioxide,0.0017 
AC005532.5, 5-Aza,0.0017 
AC005532.5,Camptothecin (CPT),0.0017 
AC005532.5,interleukin-6 (IL-6),0.0017 
AC005863.1,aminoglycoside,0.0017 
AC007036.5,Chronic oxidative stress,0.0017 
AC007036.5,Necitumumab,0.0017 
AC078852.1,aminoglycoside,0.0017 
AC112229.7,aminoglycoside,0.0017 
AP000304.2,Chronic oxidative stress,0.0017 
AP000304.2,Necitumumab,0.0017 
CTC-338M12.2, 5-Aza,0.0017 
CTC-338M12.2,Camptothecin (CPT),0.0017 
CTC-338M12.2,interleukin-6 (IL-6),0.0017 
CTD-2651B20.7,TGF-r,0.0017 
MIR600HG,3-nitropropionic acid (3-NPA),0.0017 
MIR600HG,deoxycholic acid,0.0017 
MIR600HG,pacitaxel,0.0017 
NOP14-AS1, 5-Aza,0.0017 
NOP14-AS1,Camptothecin (CPT),0.0017 
NOP14-AS1,interleukin-6 (IL-6),0.0017 
RP11-156L14.1,aminoglycoside,0.0017 
RP11-174G17.2, 5-Aza,0.0017 
RP11-174G17.2,Camptothecin (CPT),0.0017 
RP11-174G17.2,interleukin-6 (IL-6),0.0017 
RP11-264L1.3, 5-Aza,0.0017 
RP11-264L1.3,Camptothecin (CPT),0.0017 
RP11-264L1.3,interleukin-6 (IL-6),0.0017 
RP11-397D12.6,aminoglycoside,0.0017 
RP11-403I13.8,Cyclic mechanical stress (CMS),0.0017 
RP11-403I13.8,gamma-irradiation and genotoxic drugs,0.0017 
RP11-403I13.8,methotrexate (MTX),0.0017 
RP11-57H14.4,fulvestrant,0.0017 
RP11-6N17.9,aminoglycoside,0.0017 
RP11-730K11.1,aminoglycoside,0.0017 
RP4-665N4.8,Chronic oxidative stress,0.0017 
RP4-665N4.8,Necitumumab,0.0017 
SNHG7,Arsenic trioxide,0.0018 
AC005154.5,curcumin,0.0018 
RP1-283E3.8,curcumin,0.0018 
CTC-228N24.3,nicotine,0.0018 
CTC-228N24.3,thyrotropin,0.0018 
RP11-690G19.3,thyrotropin,0.0018 
CTD-2116N17.1,Polyunsaturated fatty acids (PUFAs),0.0018 
CTB-89H12.4,Imatinib,0.0018 
AC156455.1,Epigallocatechin gallate (EGCG),0.0018 
CBR3-AS1,gemcitabine,0.0018 
RP11-497H16.9,gemcitabine,0.0018 
CTD-2516F10.2,curcumin,0.0018 
LL22NC03-N27C7.1,curcumin,0.0018 
PDXDC2P,curcumin,0.0018 
RP11-549J18.1,curcumin,0.0018 
RP11-697M17.1,curcumin,0.0018 
RP5-1028K7.2,curcumin,0.0018 
YLPM1,curcumin,0.0018 
RP11-214O1.2,metformin,0.0019 
RP11-452L6.5,metformin,0.0019 
EPB41L4A-AS1,drug,0.0019 
NEAT1,gemcitabine,0.0020 
RP5-1180C10.2,Arsenic trioxide,0.0020 
AC005152.2,gefitinib,0.0020 
AC012146.7,HIV,0.0020 
HOXA-AS3,HIV,0.0020 
RP11-622K12.1,Ethanol,0.0020 
SIK3-IT1,HIV,0.0020 
ZNF252P-AS1,Ethanol,0.0020 
RP13-507I23.1,hydroxycamptothecin (HCPT),0.0020 
LINC00610,E2?182780,0.0020 
LINC00610,ICI-182780 (Fulvestrant),0.0020 
LINC00610,MPA486,0.0020 
LINC00610,RU486 (Mifepristone),0.0020 
RP11-379K17.4,paclitaxel-carboplatin,0.0020 
CDKN2B-AS1,Estradiol (E2),0.0020 
CTD-2116N17.1,TGF-beta1,0.0020 
LINC00338,TGF-beta1,0.0020 
RP11-793H13.8,methacrylic,0.0020 
TTN-AS1,thyrotropin,0.0020 
XXbac-BPG32J3.20,pyruvate kinase type M2 (PKM2),0.0020 
XXbac-BPG32J3.20,thyrotropin,0.0020 
LA16c-306E5.2,Estradiol (E2),0.0020 
NEAT1,cocaine,0.0020 
HOXA-AS4,progestin,0.0021 
RP11-429J17.2,progestin,0.0021 
PTCHD3P1,Etoposide,0.0021 
AC079117.1,Tamoxifen,0.0021 
CTD-2538C1.2,Tamoxifen,0.0021 
RP11-213H15.3,Tamoxifen,0.0021 
FGD5-AS1,Epigallocatechin gallate (EGCG),0.0021 
RP11-27I1.2,curcumin,0.0022 
RP11-373L24.1,hypoxia,0.0022 
LINC00313,gemcitabine,0.0023 
PVT1,drug,0.0023 
RP5-1180C10.2,fludarabine,0.0023 
RP11-64K12.2,curcumin,0.0023 
RP11-727A23.5,Retinoic Acid,0.0023 
TTTY15,Retinoic Acid,0.0023 
NEAT1,Arsenic trioxide,0.0023 
AL163636.6,Ethanol,0.0023 
AC005154.5,hypoxia,0.0023 
LINC00839,hypoxia,0.0023 
RP11-379K17.11,paclitaxel,0.0023 
C14orf169,thyrotropin,0.0023 
RP11-1103G16.1,thyrotropin,0.0023 
RP11-54O7.1,thyrotropin,0.0023 
RP5-1172N10.3,thyrotropin,0.0023 
XIST,hypoxia,0.0024 
RP11-390P2.4,docetaxel,0.0024 
INTS6-AS1,doxorubicin (Dox),0.0024 
RP11-415J8.7,doxorubicin (Dox),0.0024 
GS1-358P8.4,drug,0.0024 
AC007040.11,vincristine,0.0024 
AC009133.15,capecitabine,0.0024 
AC009133.15,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0024 
AC009501.4,vincristine,0.0024 
CTB-102L5.7,cytomegalovirus,0.0024 
CTB-102L5.7,hepatitis B virus (HBV),0.0024 
CTB-102L5.7,Oltipraz,0.0024 
RP11-108M9.3,cytomegalovirus,0.0024 
RP11-108M9.3,hepatitis B virus (HBV),0.0024 
RP11-108M9.3,Oltipraz,0.0024 
RP11-169D4.1,vincristine,0.0024 
RP11-316M1.11,cytomegalovirus,0.0024 
RP11-316M1.11,hepatitis B virus (HBV),0.0024 
RP11-316M1.11,Oltipraz,0.0024 
RP11-54O7.2,vincristine,0.0024 
RP5-875O13.1,cytomegalovirus,0.0024 
RP5-875O13.1,hepatitis B virus (HBV),0.0024 
RP5-875O13.1,Oltipraz,0.0024 
RP11-277P12.20,metformin,0.0024 
RP11-457M11.2,metformin,0.0024 
RP11-498P14.3,metformin,0.0024 
XXbac-BPG300A18.13,metformin,0.0024 
RP11-216F19.2,docetaxel,0.0024 
AC017048.3,Arsenic,0.0024 
RP11-299M14.2,Arsenic,0.0024 
RP11-511P7.2,Arsenic,0.0024 
RP11-57H14.4,Arsenic,0.0024 
RP13-507I23.1,H2O2,0.0024 
SNHG12,curcumin,0.0025 
SNHG14,fludarabine,0.0025 
AC021016.6,3-nitropropionic acid (3-NPA),0.0025 
AC021016.6,deoxycholic acid,0.0025 
AC021016.6,pacitaxel,0.0025 
AF131215.9,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0025 
CTD-2086O20.3,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0025 
CTD-2245O6.1,aminoglycoside,0.0025 
CTD-2339L15.1,Chronic oxidative stress,0.0025 
CTD-2339L15.1,Necitumumab,0.0025 
CTD-2517M14.5,Chronic oxidative stress,0.0025 
CTD-2517M14.5,Necitumumab,0.0025 
CTD-3185P2.2, 5-Aza,0.0025 
CTD-3185P2.2,Camptothecin (CPT),0.0025 
CTD-3185P2.2,interleukin-6 (IL-6),0.0025 
DLX6-AS1,thyrotropin,0.0025 
FENDRR,thyrotropin,0.0025 
MAGI1-IT1,methacrylic,0.0025 
MIAT,Chronic oxidative stress,0.0025 
MIAT,Necitumumab,0.0025 
MLLT4-AS1,Chronic oxidative stress,0.0025 
MLLT4-AS1,Necitumumab,0.0025 
RP11-132A1.3, 5-Aza,0.0025 
RP11-132A1.3,Camptothecin (CPT),0.0025 
RP11-132A1.3,interleukin-6 (IL-6),0.0025 
RP11-153A23.6,aminoglycoside,0.0025 
RP11-173C20.2,3-nitropropionic acid (3-NPA),0.0025 
RP11-173C20.2,deoxycholic acid,0.0025 
RP11-173C20.2,pacitaxel,0.0025 
RP11-226L15.5,HCV,0.0025 
RP11-425I13.3,3-nitropropionic acid (3-NPA),0.0025 
RP11-425I13.3,deoxycholic acid,0.0025 
RP11-425I13.3,pacitaxel,0.0025 
RP11-761E20.1,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0025 
RP11-849F2.8,5-aza-2'-deoxycytidine (5-Aza-dC) and trichostatin A (TSA),0.0025 
SNORD57,Cyclic mechanical stress (CMS),0.0025 
SNORD57,gamma-irradiation and genotoxic drugs,0.0025 
SNORD57,methotrexate (MTX),0.0025 
AC105760.2,Retinoic Acid,0.0025 
MIR4720,Estradiol (E2),0.0025 
RP13-507I23.1,Estradiol (E2),0.0025 
AC108142.1,paclitaxel,0.0025 
RP1-178F10.3,gemcitabine,0.0026 
RP11-140H17.1,paclitaxel,0.0026 
GS1-124K5.11,progestin,0.0026 
RP11-421L21.3,anabolic stimulus,0.0026 
CTC-479C5.10,Human T-lymphotropic virus type 1 (HTLV-1),0.0026 
LINC00174,folate,0.0026 
RP11-227G15.3,HIV,0.0026 
CTA-204B4.6,paclitaxel,0.0026 
ZNF518A,paclitaxel,0.0026 
AC003092.1,curcumin,0.0026 
AC090587.2,curcumin,0.0026 
AC113189.5,curcumin,0.0026 
CTB-50E14.6,curcumin,0.0026 
DLG1-AS1,curcumin,0.0026 
KIF9-AS1,curcumin,0.0026 
MIR497HG,curcumin,0.0026 
RP11-18A3.4,curcumin,0.0026 
RP11-383J24.5,curcumin,0.0026 
RP11-38J22.6,curcumin,0.0026 
RP11-429J17.6,hemin,0.0026 
RP11-461L13.3,curcumin,0.0026 
RP11-543D5.2,curcumin,0.0026 
RP11-66B24.4,curcumin,0.0026 
RP11-677M14.3,curcumin,0.0026 
RP11-869B15.1,ionising radiation,0.0026 
RP3-486L4.3,curcumin,0.0026 
RP11-220I1.1,irradiation,0.0026 
AC005537.2,Retinoic Acid,0.0026 
AC011893.3,Retinoic Acid,0.0026 
AC074093.1,Retinoic Acid,0.0026 
AC091878.1,Retinoic Acid,0.0026 
CTC-246B18.8,Retinoic Acid,0.0026 
CTC-429P9.3,Retinoic Acid,0.0026 
CTD-2201E18.3,Retinoic Acid,0.0026 
ERVK13-1,Retinoic Acid,0.0026 
IQCH-AS1,Retinoic Acid,0.0026 
RASAL2-AS1,Retinoic Acid,0.0026 
RP11-43D2.6,Retinoic Acid,0.0026 
RP11-474P12.5,Retinoic Acid,0.0026 
RP11-60I3.5,Retinoic Acid,0.0026 
RP1-310O13.12,Retinoic Acid,0.0026 
CTC-281B15.1,hypoxia,0.0026 
CTB-89H12.4,gefitinib,0.0027 
EMG1,5-aza-2'-deoxycytidine ,0.0027 
RP11-492E3.1,5-aza-2'-deoxycytidine ,0.0027 
AC007040.7,hypoxia,0.0027 
LINC00116,hypoxia,0.0027 
RP11-429J17.6,hypoxia,0.0027 
CTC-228N24.3,curcumin,0.0027 
AC105760.2,cetuximab (Caco-2 and HCT-116),0.0027 
LINC00472,HCV,0.0027 
RP11-467L20.9,thyrotropin,0.0027 
RP11-96D1.10,methacrylic,0.0027 
RP11-96D1.10,thyrotropin,0.0027 
TRAF3IP2-AS1,thyrotropin,0.0027 
OIP5-AS1,Epigallocatechin gallate (EGCG),0.0027 
MAPKAPK5-AS1,paclitaxel-carboplatin,0.0027 
RP11-690D19.3,paclitaxel-carboplatin,0.0027 
RP11-216F19.2,fludarabine,0.0028 
RP11-197N18.2,Etoposide,0.0028 
CCAT1,fludarabine,0.0028 
CDKN2B-AS1,fludarabine,0.0028 
RP11-701H24.4,fludarabine,0.0028 
RP1-178F10.3,hepatitis C virus (HCV),0.0028 
AC006262.5,Tamoxifen,0.0028 
AC079767.2,Tamoxifen,0.0028 
AC092835.2,Tamoxifen,0.0028 
RP4-785G19.5,Tamoxifen,0.0028 
AC092535.3,Epigallocatechin gallate (EGCG),0.0028 
DYX1C1-CCPG1,Epigallocatechin gallate (EGCG),0.0028 
AC034220.3,4-HPR and EGCG,0.0029 
AC034220.3,Benzo(a)pyrene (BaP),0.0029 
CTD-3064H18.6,gefitinib,0.0029 
RNU4ATAC,4-HPR and EGCG,0.0029 
RNU4ATAC,Benzo(a)pyrene (BaP),0.0029 
RP11-234O6.2,4-HPR and EGCG,0.0029 
RP11-234O6.2,Benzo(a)pyrene (BaP),0.0029 
RP11-371I1.2,gefitinib,0.0029 
RP11-73K9.2,gefitinib,0.0029 
RP13-890H12.2,gefitinib,0.0029 
RP4-714D9.5,4-HPR and EGCG,0.0029 
RP4-714D9.5,Benzo(a)pyrene (BaP),0.0029 
TBX5-AS1,4-HPR and EGCG,0.0029 
TBX5-AS1,Benzo(a)pyrene (BaP),0.0029 
TPT1-AS1,gefitinib,0.0029 
LINC00263,metformin,0.0029 
RP11-996F15.2,Retinoic Acid,0.0029 
SCARNA10,metformin,0.0029 
EMG1,Arsenic trioxide,0.0029 
AC079767.2,Arsenic trioxide,0.0029 
AC092835.2,Arsenic trioxide,0.0029 
RP11-44F14.11,irradiation,0.0029 
RP4-785G19.5,Arsenic trioxide,0.0029 
LL22NC03-N27C7.1,docetaxel,0.0029 
RP11-492E3.1,H2O2,0.0029 
RP11-549J18.1,docetaxel,0.0029 
AC004383.4,hypoxia,0.0029 
AC006262.5,hypoxia,0.0029 
AC092835.2,hypoxia,0.0029 
CTD-2574D22.4,hypoxia,0.0029 
LINC00473,hypoxia,0.0029 
RP11-204M4.2,hypoxia,0.0029 
RP4-785G19.5,hypoxia,0.0029 
LINC00472,paclitaxel,0.0029 
ZNRD1-AS1,Arsenic,0.0030 
AC096772.6,"metal (magnesium-, iron-, gallium, and aluminum)-sulfate",0.0030 
AD000090.2,Glucocorticoids (GCs),0.0030 
LINC00176,thyrotropin,0.0030 
RP1-5O6.6,cytomegalovirus,0.0030 
RP5-1180C10.2,thyrotropin,0.0030 
NEAT1,Epigallocatechin gallate (EGCG),0.0030 
RP5-1180C10.2,Retinoic Acid,0.0030 
MALAT1,Polyunsaturated fatty acids (PUFAs),0.0030 
RP11-473I1.10,Arsenic trioxide,0.0030 
TP73-AS1,Estradiol (E2),0.0030 
ZNF252P-AS1,Estradiol (E2),0.0031 
AC005154.6,TGF-beta1,0.0031 
RP11-1149O23.3,gemcitabine,0.0032 
AC079117.1,doxorubicin (Dox),0.0032 
CTD-2538C1.2,doxorubicin (Dox),0.0032 
RP11-213H15.3,doxorubicin (Dox),0.0032 
RP11-452F19.3,metformin,0.0032 
RP11-66B24.4,doxorubicin (Dox),0.0032 
PTCHD3P1,temozolomide,0.0033 
RP11-923I11.1,curcumin,0.0033 
RP11-701H24.4,Imatinib,0.0033 
LL22NC03-N27C7.1,ionizing radiation,0.0033 
EPB41L4A-AS1,Polyunsaturated fatty acids (PUFAs),0.0033 
EPB41L4A-AS1,thyrotropin,0.0033 
SPPL2B,thyrotropin,0.0033 
CTC-487M23.5,aminoglycoside,0.0033 
CTD-2090I13.1,aminoglycoside,0.0033 
CTD-2622I13.3,Human T-lymphotropic virus type 1 (HTLV-1),0.0033 
FAM201A,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0033 
FAM201A,serum starvation and chemotherapeutic drug,0.0033 
KTN1-AS1,As2O3,0.0033 
LIFR-AS1,Chronic oxidative stress,0.0033 
LIFR-AS1,Necitumumab,0.0033 
LINC00661, 5-Aza,0.0033 
LINC00661,Camptothecin (CPT),0.0033 
LINC00661,interleukin-6 (IL-6),0.0033 
RP11-120D5.1,aminoglycoside,0.0033 
RP11-252A24.7,3-nitropropionic acid (3-NPA),0.0033 
RP11-252A24.7,deoxycholic acid,0.0033 
RP11-252A24.7,pacitaxel,0.0033 
RP11-303E16.8,Chronic oxidative stress,0.0033 
RP11-303E16.8,Necitumumab,0.0033 
RP11-498E2.8,castration,0.0033 
RP11-529K1.2,castration,0.0033 
RP11-617D20.1,folate,0.0033 
RP11-66N24.4, 5-Aza,0.0033 
RP11-66N24.4,Camptothecin (CPT),0.0033 
RP11-66N24.4,interleukin-6 (IL-6),0.0033 
RP11-907D1.2,folate,0.0033 
RP5-842K24.2,Human T-lymphotropic virus type 1 (HTLV-1),0.0033 
TAPT1-AS1,Human T-lymphotropic virus type 1 (HTLV-1),0.0033 
